Current Price,Original Price,Rating,Number OF Ratings,Battery Life (Days),Display Size,Weight,Discount Price,amazfit,ambrane,boat,crossbeats,dizo,fire-boltt,fitbit,fossil,gizmore,honor,huawei,noise,pebble,zebronics,4th Gen Explorist HR,4th Gen Venture HR,910,ARG-B39-cr,Aspire Unisex 2.5D Curved Screen Smartwatch with Female Cycle Tracker Rose Gold,BSW003,BSW030,BSW037,BSW043,BSW046,BSW053,BSW070,Bip 3 Pro with 1.69 inch Large Color Display Built-in GPS,Bip U,Bip U pro 1.43 HD display GLONASS GPS & AI assistant,"Blaze Max 1.85"" BT Calling Edge to Edge Display, Voice Assistance, Bluetooth","Caliber Buzz Advanced BT Calling(True Sync), 1.69"" display, 500 NITS Brightness","ColorFit Caliber 2 Buzz Advanced BT Calling, 1.85"" display,10 days battery","ColorFit Caliber 2 with 1.83'' display Up to 12 Day Battery, 60 sports mode","ColorFit Caliber Go with 1.69 inch HD Display, 40 Sports Modes, 150+ Watch Faces","ColorFit Loop Advanced BT Calling with 1.85"" display,130+Sports Modes","ColorFit Pro4 BT Calling 1.72"" TruView Display, Fully-functional digital crown","ColorFit Pro4 Max 1.8"" BT Calling, Noise detection, Noise Health Suite",ColorFit Vision 2 Buzz,"Core 2 1.28"" Display , Noisefit sync app, 100+ watch faces & 50+ Sports Modes","Cosmos Grande 2.1 Largest Display, BT Calling, Wireless Charging,GPS Trajectory","Evolve 3, 1.43"" AMOLED AOD, 466*466px, 500 nits, BT calling,Tru Sync Technology",FB-01 Hybrid HR,"Fit Buzz with 1.32inch HD Round Screen, Bluetooth calling and SPO2",Fitness band,Flex 1.69inch Lucid display and SPO2,GIZFIT 908 Pro_Black,GTR 3 1.3 HD AMOLED with Always on Display and powerful Zepp OS,"GTS 3 1,75 HD AMOLED with advanced GPS and 150+ sports modes",GizFit 902,GizFit GLOW AMOLED with 3.4 Cm | ALWAYS-ON | 550 NITS Brightness | BT Calling,GizFit GLOW LUXE AMOLED with 3.35 Cm Display | 500 NITS| Bluetooth Calling,GizFit ORBIT BT Calling with 1.32 Inch Ultra Sharp HD Display|500 NITS|ALWAYS-ON,Gizfit 910 Pro Bluetooth Calling with AI Voice Assistance,Gizfit Slate BT Calling | 1.57 Inch display | AI voice Assistance,Infinti 2.0,Julianna HR,MUS-B19,MUS-B19-cr,Magic SmartWatch,Magic Watch 2 (42 mm),Magic Watch 2 (46mm),Minos-B19S-cr,PFB13 Charcoal Black,PFB22 Mint Green,PFB24,Pace Unisex Smart Watch with Full Touch Dynamic Colour Display (Blue,"Pop 2 with Ultra-large 1.78 inch HD AMOLED Display, BT Calling, SpO2",Q Venture,R TALK SMARTWATCH Amoled Display with Calling10 Days Battery(SilverGrey)FreeSize,"R Talk, Amoled Display with Calling & 10 days battery",Revo Bluetooth Calling Smartwatch for Men Black,S4 Max,Sense,"Spark 1.7 inch Bluetooth Calling, HD Display with SPO2, HR Monitor","Spark Ace 1.85 Large HD Display, Health Suite, 100+ Watch Faces, 7 days battery","Storm Pro Call with Bluetooth Calling, 1.78'' AMOLED Display and ASAP Charge","Storm Pro with 1.78"" AMOLED Display, 700+ Active Modes",Surge 1.28 Curved Display with complete Health Tracking,T rex Pro 1.3HD AMOLED with advanced GPS & 10ATM water resistance,Talos-B19S-cr,The Carlyle HR,UNBEATABLE ZEB-FIT480CH,Venus,Versa,Versa 2,"Vertex 1.69"" HealthEcosystem","WATCH D PRO WITH CALLING,D1 CHIPSET,OS,1.85 INCH DISPLAY",WATCH D ULTRA 1.78 AMOLED WITH CALLING,Watch 2 Sports i,"Watch D Plus with 1.85inch,550nits display&14 day battery","Watch D Sharp 1.75"" with High Res (320*390) Display (By realme techLife)","Watch D2 with 1.91 inch super big display ,BT Calling (by realme TechLife)",Watch ES,Watch Flash,Watch GS 3,Watch GS Pro,Watch GT 2 (46 mm),Watch GT 2e Active,Watch GT 2e Sport,Watch GT Active,Watch GT Classic,Watch GT Sport,Watch Magic,"Watch Mercury 1.54"" TFTDisplay",Watch Pro,Watch R AMOLED with 45 mm Dial Size (by realme techLife),"Watch R Talk Go, 1.39 inch, 550nits display, 10 day battery (by realme TechLife)",Wave Arcade with 1.81 inch HD Display and Bluetooth Calling,Wave Call,"Wave Infinity with 1.85"" HD Screen, Functional Crown and Bluetooth Calling","Wave Select with 1.69"" HD Display, upto 10 Days Battery, HR & SpO2 Monitoring","Wave Ultima with 1.8 inch Curve Arc HD Display, Bluetooth Calling with BT v5.3",Wave pro 1.69inch HD display withTemperature Sensor and live cricket updates,"Wise Eon Max with 2.01'' Lucid display, BT Calling, with customisable watch face","Wise Eon Pro1.85"" lucid display with BT calling","Wise Glaze with 1.78"" Amoled display, BT Calling,SPO2 , Heart Rate Monitor","Wise-roam 1.28"" Full HD display,bluetooth calling and complete health tracking",Wrb-sw-colorfitpro4-std-slvr_org,Wrb-sw-colorfitpulse2max-std-blk_blk,Wrb-sw-colorfitpulse2max-std-blu_blu,Wrb-sw-colorfitpulsegobuzz-std-blk_blk,Wrb-sw-colorfitpulsegobuzz-std-gry_gry,X-Fit 2 (HRX Edition) Smart Watch with 1.69inch Display & 60 Sports Modes,Xplorer,ZEB FIT 4 - BLACK (ICONIC ULTRA),ZEB FIT380CH,ZEB FIT8220CH,ZEB-FITME,Zeb Fit 7220 CH,bsw016,ring,wrb-sw-colorfitultrabuzz-std-blk_blk,wrb-sw-colorfitultrabuzz-std-ogrn_ogrn,Circle,Curved,Rectangle,Square,Fluoroelastomer,Leather,Nylon,Other,Plastic,Rubber,Silicon,Stainless Steel,Thermo Plastic Polyurethene
0.3939393939393939,0.6214093038663575,0.916666666666667,0.5051343221657505,0.3411764705882353,0.3076923076923077,0.13636363636363635,-5999.9999993316005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0.0404040404040404,0.33746628176612564,0.5,0.22355910521038624,0.9999999999999999,0.6153846153846156,0.40909090909090906,-6999.9999996929,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.3434343434343434,0.7318631394633477,0.8333333333333335,0.06140441862877295,0.9999999999999999,0.15384615384615385,0.40909090909090906,-9334.000000548001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.1414141414141414,0.3847901187828309,0.3333333333333335,0.00010372368011617053,0.9999999999999999,0.5384615384615385,0.40909090909090906,-5999.999999994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.2424242424242424,0.24281860773271496,0.7500000000000004,0.0003457456003872351,0.9999999999999999,0.23076923076923084,0.9999999999999999,-999.9999997460999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.6967676767676767,0.9998107046519333,0.5833333333333335,0.15489402897348134,0.788235294117647,0.23076923076923084,0.40909090909090906,-8000.000000811,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.09090909090909091,0.2901424447494203,0.8333333333333335,0.4063202295750787,0.9999999999999999,0.6153846153846156,0.40909090909090906,-5000.0000002652005,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.030303030303030304,0.19549477071600968,0.6666666666666665,0.12111468381564845,0.9999999999999999,0.6153846153846156,0.40909090909090906,-4199.9999999139,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.046818181818181814,0.19549477071600968,0.3333333333333335,0.0005186184005808527,0.3411764705882353,0.6923076923076923,0.13636363636363635,-3873.0000001987005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.030303030303030304,0.19549477071600968,0.7500000000000004,0.01555855201742558,0.9999999999999999,0.7692307692307694,0.40909090909090906,-4199.9999999139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.0404040404040404,0.19549477071600968,0.6666666666666665,0.313867856031532,0.788235294117647,0.6153846153846156,0.40909090909090906,-4000.0000000037003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.09090909090909091,0.28971653021627,0.4166666666666665,0.39197178715900843,0.9999999999999999,0.23076923076923084,0.40909090909090906,-4991.000000202001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.005050505050505055,0.24239269319956463,0.5,0.6034297963558415,0.9999999999999999,0.5384615384615385,0.40909090909090906,-5690.999999799001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
